company_id,year,net_profit_margin_pct,operating_profit_margin_pct,return_on_equity_pct,return_on_capital_employed_pct,return_on_assets_pct,debt_to_equity,interest_coverage,asset_turnover,free_cash_flow_cr,capex_cr,earnings_per_share,book_value_per_share,dividend_payout_ratio_pct,total_debt_cr,cash_from_operations_cr,revenue_cagr_5yr,pat_cagr_5yr,eps_cagr_5yr,composite_quality_score
TATACONSUM,Mar 2016,-0.56,5.51,-0.59,4.82,-0.37,0.22,3.45,0.67,261.0,145.0,0.0,99.16,-999.0,1354.0,116.0,,,,29.24
TATACONSUM,Mar 2017,6.71,11.67,7.26,11.22,4.76,0.13,20.44,0.71,886.0,145.0,6.0,99.44,38.0,787.0,741.0,,,,69.26
TATACONSUM,Mar 2018,8.16,12.31,7.91,10.36,5.31,0.15,17.54,0.65,325.0,31.0,8.0,111.6,30.0,1068.0,356.0,-1.5,4.55,5.92,49.22
TATACONSUM,Mar 2019,6.3,10.84,6.23,9.28,4.2,0.16,11.67,0.67,263.0,53.0,6.0,116.38,39.0,1141.0,210.0,-1.29,-2.17,-3.04,40.11
TATACONSUM,Mar 2020,4.77,13.41,3.33,8.39,2.49,0.11,16.36,0.52,460.0,622.0,5.0,150.16,54.0,1586.0,1082.0,3.81,11.0,4.56,56.53
TATACONSUM,Mar 2021,8.02,13.31,6.4,9.55,4.6,0.11,22.4,0.57,1310.0,346.0,9.0,157.98,44.0,1634.0,1656.0,11.82,,,67.96
TATACONSUM,Mar 2022,8.17,13.84,6.7,10.38,4.82,0.09,20.77,0.59,199.0,1317.0,10.0,164.59,60.0,1412.0,1516.0,12.88,17.41,10.76,74.96
TATACONSUM,Mar 2023,9.58,13.47,8.11,10.38,5.8,0.1,16.8,0.61,627.0,834.0,12.0,175.02,65.0,1600.0,1461.0,15.13,18.88,8.45,78.49
TATACONSUM,Mar 2024,7.99,15.02,7.57,11.69,4.36,0.22,25.32,0.55,26.0,1911.0,12.0,169.02,64.0,3477.0,1937.0,15.96,21.6,14.87,79.26
TATACONSUM,TTM,7.18,15.32,,,,,8.69,,,,12.0,,,,,,,,85.44
TATAMOTORS,Mar 2013,5.28,13.03,26.51,26.92,5.93,1.43,6.97,1.12,-806.0,22969.0,35.0,117.98,6.0,53716.0,22163.0,,,,86.33
TATAMOTORS,Mar 2014,6.03,14.97,21.42,27.61,6.43,0.92,7.31,1.07,8160.0,27991.0,48.0,203.74,5.0,60642.0,36151.0,,,,91.73
